query-id	corpus-id	score
1	mmddnj5v	0.71
1	9v7vp66j	0.69
1	000tfenb	0.67
1	8z0ti0dx	0.66
1	0t9ok1jb	0.65
1	bm0ldeue	0.65
1	713ey27b	0.65
1	qwziokkg	0.65
1	04bi0d50	0.64
1	t0dg7y73	0.64
1	602a2xdn	0.63
1	skk4c3a5	0.63
1	sa44s4nc	0.63
1	b61alj5x	0.63
1	c8609xth	0.63
1	wim5q9a5	0.63
1	ag7c2mhx	0.63
1	3114rz8f	0.63
1	2zv8wtb0	0.63
1	pl3tmky8	0.62
1	a4jn6gpk	0.62
1	bdt7snjp	0.62
1	8l411r1w	0.62
1	r0peje13	0.62
1	jt6ucfdp	0.62
1	rjmgybzn	0.62
1	eo089mpv	0.62
1	rkt6ea5o	0.62
1	vraqyad1	0.61
1	sbswy7el	0.61
1	n4v4n8d1	0.61
1	qg0fsliy	0.61
1	1dj91ew5	0.61
1	3tfwy8km	0.61
1	mqduxqdl	0.61
1	nig414jc	0.61
1	ua6aeg5a	0.61
1	ovmso3qu	0.61
1	clpszny0	0.61
1	eyi5609q	0.61
1	rehr84c7	0.61
1	wuo5g9x1	0.61
1	yev38f0k	0.61
1	anm32o5q	0.61
1	ba6v30jg	0.61
1	zppc6p20	0.61
1	yja3wzgg	0.61
1	hq4jb2wy	0.61
1	mjk4bjm2	0.61
1	zzpw375i	0.61
1	6u2qryih	0.61
1	6hwvcmf0	0.6
1	kgaromko	0.6
1	r25aqii5	0.6
1	0gmtnkbh	0.6
1	f0z8gcws	0.6
1	tn8374cf	0.6
1	wt9j5mvd	0.6
1	ghekwo95	0.6
1	g4jlg9pw	0.6
1	ip38x8bu	0.6
1	e9sl87d2	0.6
1	fpj5urao	0.6
1	4ze0mfxp	0.6
1	93bwhhft	0.6
1	m4o83ka9	0.6
1	ib4kq2ml	0.6
1	6wya5f46	0.6
1	66xk0qqq	0.6
1	x6bryq9d	0.6
1	a2cqw8kg	0.6
1	hix57xwa	0.6
1	rcv8sh22	0.6
1	2054tkb7	0.6
1	vcfljekt	0.6
1	k2qj6o7j	0.6
1	qb0jtsdk	0.6
1	xia53pf6	0.6
1	vz98i5u3	0.6
1	3k5lmawz	0.6
1	jw6kh8os	0.6
1	716jsv5j	0.6
1	3ain627u	0.59
1	n2o7iiew	0.59
1	ky7ntgrz	0.59
1	qvz63m93	0.59
1	yphmntoc	0.59
1	oq16de67	0.59
1	6y1gwszn	0.59
1	2kbi9drl	0.59
1	skkng2le	0.59
1	3h1o0oz3	0.59
1	uaonz8yr	0.59
1	xbn5ov9s	0.59
1	qed8hayx	0.59
1	vcl2zair	0.59
1	hk77e3pp	0.59
1	uz91cd6h	0.59
1	h2uc7ria	0.59
1	ejg393zs	0.59
1	e2zyplbi	0.59
1	12540n1s	0.59
1	dnc23aw8	0.59
1	izltn367	0.59
1	zi98dq1v	0.59
1	nhf3rbwf	0.59
1	09ots6oj	0.59
1	4w5o8jfu	0.58
1	50ucr7cz	0.58
1	ibn71fcd	0.58
1	o0ayy3vb	0.58
1	d84q9baj	0.58
1	zjn5inyl	0.58
1	ph15z424	0.58
1	g1zxlaer	0.58
1	fs07zdu6	0.58
1	b5mvqb4p	0.58
1	efk2jj50	0.58
1	dbem6cfo	0.58
1	dnla56uh	0.58
1	wya9owt1	0.58
1	w7ciuyno	0.58
1	14pgap3r	0.58
1	b1iyr42n	0.58
1	52kqp9yw	0.58
1	wmfgodo6	0.58
1	fz9wvup0	0.58
1	4bife4r5	0.58
1	6rrs2qsq	0.58
1	5tb29n9s	0.58
1	zaxjj9q7	0.58
1	62qe4fb0	0.58
1	w32i3vbr	0.58
1	3jaw7ymu	0.58
1	eqfz0wpm	0.58
1	1f9x5li8	0.58
1	059q8e8i	0.58
1	xtibubra	0.58
1	r9bbomvk	0.58
1	bgh729s5	0.58
1	gy78e87y	0.58
1	mweeepam	0.58
1	78m8ylz5	0.58
1	msohf5oa	0.57
1	59492sjb	0.57
1	pygykil7	0.57
1	9v4uqsun	0.57
1	vahud6o5	0.57
1	lt09z61w	0.57
1	lcu1mgno	0.57
1	ywc5rby3	0.57
1	146matzr	0.57
1	p8fmj516	0.57
1	7htfxqno	0.57
1	cmjnb0al	0.57
1	eiobmxp2	0.57
1	e117g64b	0.57
1	9sx2jrit	0.57
1	t3t20wji	0.57
1	3olubeow	0.57
1	zi0lc3lp	0.57
1	ojp6p31u	0.57
1	2l4xxu3v	0.57
1	69touqca	0.57
1	y59k3aso	0.57
1	09dh938k	0.57
1	5qn5h7p5	0.57
1	wt8zfqk0	0.57
1	x98j7mii	0.57
1	hfxlaxcj	0.57
1	bqo203pf	0.57
1	yk60ol95	0.57
1	6jakyj24	0.57
1	6wbrv9o1	0.57
1	127c5bve	0.57
1	u2bx4ty4	0.57
1	vjrf6y70	0.57
1	k0osv3ay	0.57
1	oxs048lr	0.57
1	e37ns629	0.57
1	bawgldfi	0.56
1	7cb88t8n	0.56
1	j99cgsjt	0.56
1	hw4adeg9	0.56
1	t3iaft1u	0.56
1	qabupjgk	0.56
1	m400cal3	0.56
1	uadfehr6	0.56
1	izu5x2d4	0.56
1	0mzoti1m	0.56
1	ytnfqldq	0.56
1	rjexz182	0.56
1	jojtdu3a	0.56
1	qwkp8tvt	0.56
1	73qgx58i	0.56
1	777z09h2	0.56
1	k5il9xmt	0.56
1	xa9uvn6y	0.56
1	ewdfqktw	0.56
1	ux5mrxox	0.56
1	osct0lj6	0.56
1	zknmfgsh	0.56
1	915srotp	0.56
1	etdnqj8j	0.56
1	rh235u7a	0.56
1	4iwddq2u	0.56
1	djclli8n	0.56
1	rvr86c6c	0.56
1	ca1m6147	0.56
1	d09b65gd	0.56
1	qd9bh7jk	0.56
1	unvabosp	0.56
1	fnj57b0l	0.56
1	8wg41nsd	0.56
1	ne9dpwtf	0.56
1	m9k6upe4	0.56
1	d3xgvhrd	0.56
1	zep3rot9	0.56
1	xj729b2d	0.56
1	a0p56at6	0.56
1	14yfs4pa	0.56
1	24psoaer	0.56
1	eopmma5j	0.56
1	o9ix7sco	0.56
1	bp6st31f	0.56
1	z535gkg3	0.56
1	7bp0ujqn	0.56
1	9yr3ggb4	0.56
1	y1rw9q11	0.56
1	jvplobgy	0.56
1	d80gwn5z	0.56
1	c4vk23a6	0.56
1	y8gayzeo	0.56
1	mwj2qby4	0.56
1	qbcb9qi3	0.56
1	x72m6shg	0.56
1	sxbmd0df	0.56
1	az828etz	0.56
1	1jgqofbr	0.56
1	szsb1oan	0.56
1	dutb3zl6	0.56
1	xgp2vx6o	0.56
1	f5q7j3iu	0.56
1	wzd51alu	0.55
1	ax6v6ham	0.55
1	ow2aijmj	0.55
1	82e5l0xm	0.55
1	wg7cpimw	0.55
1	vvui9das	0.55
1	a09wfmj9	0.55
1	72d16bdp	0.55
1	uo1zzzrc	0.55
1	16ofs0pu	0.55
1	le0ftbps	0.55
1	16lkzgtq	0.55
1	wmgc4ifc	0.55
1	6zwbyszc	0.55
1	siz32uvy	0.55
1	91otsemm	0.55
1	jmvwk2im	0.55
1	nkwgn3el	0.55
1	oa1uoqu5	0.55
1	w8v0mwph	0.55
1	64yvgn4u	0.55
1	j59tm40d	0.55
1	gwhxlfw6	0.55
1	tvlgqn80	0.55
1	j5v77tof	0.55
1	tepz74ow	0.55
1	7ol2wme8	0.55
1	ii6ih2r0	0.55
1	jxm69ndw	0.55
1	s9gje0pz	0.55
1	sok56yga	0.55
1	g5shtcs5	0.55
1	zb1pzdd0	0.55
1	2pyauukk	0.55
1	lw31801a	0.55
1	etqj2mq3	0.55
1	4e49s1ug	0.55
1	jjraqr85	0.55
1	ls689xli	0.55
1	njne526i	0.55
1	3iy2lp8q	0.55
1	xucldmvs	0.55
1	zo2llmg8	0.55
1	25va2cvt	0.55
1	d4kc858d	0.55
1	r55fe25x	0.55
1	salhgyfk	0.55
1	v0v0ahjh	0.55
1	dlxtbm97	0.55
1	e2agtvvu	0.55
1	a8l7yvwv	0.55
1	k325yctx	0.55
1	nsnvm97l	0.55
1	yzr7ifbj	0.55
1	qcezqpze	0.55
1	3e3hs9ay	0.55
1	qbu13jgc	0.55
1	a66sszp2	0.55
1	hms3jor0	0.55
1	ijv7bcdx	0.55
1	4ni9d2ss	0.55
1	o3nfoqgs	0.55
1	btiy6jhr	0.55
1	v8uhngrp	0.55
1	bh198xgl	0.54
1	axon4jdc	0.54
1	ailr08y5	0.54
1	odf5ko5n	0.54
1	8heicyda	0.54
1	c70kb6vb	0.54
1	tfz6f32q	0.54
1	6pgzlr8k	0.54
1	dkreswvk	0.54
1	85acs4lk	0.54
1	d2f994mb	0.54
1	jpyrk7gk	0.54
1	q7zcqk2p	0.54
1	15cfjxvj	0.54
1	kkga96h9	0.54
1	9jbvci9i	0.54
1	gq5r20pm	0.54
1	ihinqmig	0.54
1	hib30ct6	0.54
1	6mef38eo	0.54
1	lffsogc9	0.54
1	qcbskifq	0.54
1	zl7akcul	0.54
1	dxuabscn	0.54
1	7kxi7px1	0.54
1	yb54i1ne	0.54
1	50k0fgqx	0.54
1	eqiokrub	0.54
1	ymqdhu8f	0.54
1	fofy6whl	0.54
1	msqhnyhw	0.54
1	nbelxusn	0.54
1	vimbhox4	0.54
1	0buf3501	0.54
1	eroqjkoh	0.54
1	bdmlvdlx	0.54
1	xcsl2evz	0.54
1	7972ps41	0.54
1	i936ad8e	0.54
1	6loaq8pq	0.54
1	uaxts60w	0.54
1	tku1dr32	0.54
1	4almssg6	0.54
1	i5ox622c	0.54
1	ekkoa87k	0.54
1	ccrupdwj	0.54
1	qj7coqfr	0.54
1	wdi66k53	0.54
1	rqywhjtx	0.54
1	fytc8op9	0.54
1	dhwlr2ui	0.54
1	m88ha8ry	0.54
1	35oagukj	0.54
1	h8abjsxr	0.54
1	x1evu4w9	0.54
1	wdnnjlcw	0.54
1	gwoy84v5	0.54
1	hcfoj5l1	0.54
1	sl5zy8nj	0.54
1	yf7ypoh1	0.54
1	al7ao2o3	0.54
1	ajr7g7pm	0.54
1	b4gfbenh	0.54
1	3nd6ptrg	0.54
