Dense Retrieval Results:

retrived_ids: [{'mmddnj5v': 0.71}, {'9v7vp66j': 0.69}, {'000tfenb': 0.67}, {'8z0ti0dx': 0.66}, {'0t9ok1jb': 0.65}]
retrived_ids: [{'526elsrf': 0.69}, {'miyvn7vd': 0.68}, {'to9awvi9': 0.64}, {'60qmiwjm': 0.64}, {'3xw4qjoy': 0.64}]
retrived_ids: [{'k406jf98': 0.66}, {'hq4jb2wy': 0.66}, {'a2cqw8kg': 0.66}, {'bsf8s4mh': 0.65}, {'zvvdqk4b': 0.65}]
retrived_ids: [{'elzyoefa': 0.59}, {'bkntg9y0': 0.59}, {'hechmemo': 0.58}, {'d7g0pbj4': 0.58}, {'j6a9t2m0': 0.58}]
retrived_ids: [{'dnla56uh': 0.59}, {'agchvvx9': 0.58}, {'awitk3se': 0.58}, {'3kmxzbm7': 0.57}, {'85cdy3f9': 0.56}]
retrived_ids: [{'wimsktta': 0.66}, {'ax8qn0ci': 0.65}, {'yyf15d9h': 0.64}, {'e7jydd0m': 0.64}, {'89asskfx': 0.63}]
retrived_ids: [{'qgvue8yw': 0.72}, {'9uj8s19h': 0.7}, {'3mmxpz23': 0.67}, {'salhgyfk': 0.67}, {'llqpfhwg': 0.67}]
retrived_ids: [{'ejg393zs': 0.67}, {'ovmso3qu': 0.67}, {'zppc6p20': 0.67}, {'oxc6nzee': 0.66}, {'3e4mn5a8': 0.66}]
retrived_ids: [{'ovmso3qu': 0.67}, {'zppc6p20': 0.66}, {'v346cpkl': 0.64}, {'mmddnj5v': 0.64}, {'9v7vp66j': 0.64}]
retrived_ids: [{'qqsefagq': 0.63}, {'1yo8win8': 0.63}, {'jtamxl3c': 0.63}, {'41gd7rug': 0.62}, {'jhavycsq': 0.62}]
retrived_ids: [{'x08amzk4': 0.62}, {'ub0r006v': 0.61}, {'44rfv4vi': 0.61}, {'zwh1xj5u': 0.61}, {'opra4r47': 0.61}]
retrived_ids: [{'usp8g0nq': 0.69}, {'djq0lvr2': 0.68}, {'l2fenhya': 0.68}, {'od832cia': 0.67}, {'13weny1n': 0.67}]
retrived_ids: [{'ovmso3qu': 0.58}, {'zppc6p20': 0.58}, {'04bi0d50': 0.58}, {'b61alj5x': 0.57}, {'3olubeow': 0.57}]
retrived_ids: [{'3olubeow': 0.57}, {'ovmso3qu': 0.56}, {'zppc6p20': 0.55}, {'buddml6f': 0.55}, {'bp6st31f': 0.55}]
retrived_ids: [{'hn9fj8h8': 0.63}, {'eyf2dogw': 0.63}, {'bp6st31f': 0.62}, {'z4vfjlbg': 0.62}, {'rhfwbyav': 0.62}]
retrived_ids: [{'tjplc5j6': 0.64}, {'1vhprok9': 0.63}, {'e2paoo2m': 0.63}, {'ou7w3zkv': 0.63}, {'z4vfjlbg': 0.61}]
retrived_ids: [{'k1eq4l3d': 0.73}, {'uqsjl4re': 0.72}, {'ufcvecwo': 0.7}, {'pazjx1g5': 0.7}, {'di23na30': 0.69}]
retrived_ids: [{'kshjqsdj': 0.69}, {'j0lpy07l': 0.69}, {'1aqf98e0': 0.66}, {'9mn6trtn': 0.65}, {'8khrecrf': 0.65}]
retrived_ids: [{'k8k5kg4z': 0.57}, {'y777xosr': 0.54}, {'mubjm22l': 0.51}, {'0qfoc553': 0.51}, {'bp6st31f': 0.51}]
retrived_ids: [{'3pxo0j42': 0.67}, {'z0qzgu5m': 0.67}, {'mi0pmyo4': 0.66}, {'qci7khki': 0.65}, {'9ntusgd8': 0.65}]
retrived_ids: [{'ih37onc3': 0.68}, {'jf8elzsa': 0.67}, {'92ipp5ge': 0.67}, {'67g8z0rc': 0.67}, {'ovmso3qu': 0.66}]
retrived_ids: [{'ti7gcpf0': 0.66}, {'ousuytwz': 0.64}, {'ovmso3qu': 0.64}, {'zppc6p20': 0.64}, {'jvnfkwzv': 0.61}]
retrived_ids: [{'bwkad2s0': 0.61}, {'r4e4tg7r': 0.61}, {'ti7gcpf0': 0.61}, {'u7fqjti5': 0.6}, {'jvnfkwzv': 0.6}]
retrived_ids: [{'bevg0mdx': 0.67}, {'bq7460ca': 0.64}, {'u20cv79u': 0.64}, {'uxqj5jw1': 0.64}, {'ifmwfm43': 0.63}]
retrived_ids: [{'ax8qn0ci': 0.66}, {'ne9dpwtf': 0.66}, {'6rrs2qsq': 0.66}, {'wimsktta': 0.66}, {'nbqxy846': 0.65}]
retrived_ids: [{'mrh4my3u': 0.61}, {'1f9x5li8': 0.61}, {'ogcfgy8f': 0.6}, {'yydc7ksy': 0.6}, {'bsf8s4mh': 0.6}]
retrived_ids: [{'lgze4zex': 0.68}, {'6sf5xepa': 0.68}, {'6qsk6mij': 0.67}, {'we4kfb8u': 0.65}, {'000tfenb': 0.65}]
retrived_ids: [{'fgxbyb7l': 0.7}, {'hf5b7gxf': 0.69}, {'t1vom8f3': 0.69}, {'zzn74cjr': 0.69}, {'fanupn22': 0.69}]
